"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Sweden;Västra Götaland;Diseröd;;E12.02;N57.92;10;
2;Sweden;Dalarna;Djurås;;E15.13;N60.55;10;
2;Sweden;Dalarna;Djurmo;;E15.17;N60.55;10;
2;Sweden;Stockholm;Djurö;;E18.68;N59.32;10;
2;Sweden;Västra Götaland;Donsö;;E11.80;N57.60;10;
2;Sweden;Västerbotten;Dorotea;;E16.40;N64.27;10;
2;Sweden;Skåne;Dösjebro;;E13.02;N55.82;10;
2;Sweden;Jämtland;Duved;;E12.87;N63.40;10;
2;Sweden;Västra Götaland;Ed;;E;N;10;
2;Sweden;Värmland;Edane;;E12.80;N59.63;10;
2;Sweden;Gävleborg;Edsbyn;;E;N;10;
2;Sweden;Värmland;Edsvalla;;E13.18;N59.43;10;
2;Sweden;Östergötland;Ekängen;;E15.63;N58.47;10;
2;Sweden;Skåne;Ekeby;;E12.97;N56.00;10;
2;Sweden;Örebro;Ekeby-Almby;;E15.33;N59.27;10;
2;Sweden;Jönköping;Ekenässjön;;E15.00;N57.50;10;
2;Sweden;Stockholm;Ekerö;;E17.73;N59.27;10;
2;Sweden;Värmland;Ekshärad;;E13.50;N60.17;10;
2;Sweden;Jönköping;Eksjö;;E14.95;N57.67;10;
2;Sweden;Halland;Eldsberga;;E13.00;N56.60;10;
2;Sweden;Västra Götaland;Ellös;;E11.47;N58.18;10;
2;Sweden;Kalmar;Emmaboda;;E15.53;N56.63;10;
2;Sweden;Gävleborg;Enånger;;E17.01;N61.55;10;
2;Sweden;Västmanland;Enhagen-Ekbacken;;E;N;10;
2;Sweden;Uppsala;Enköping;;E17.09;N59.65;10;
2;Sweden;Västerbotten;Ersmark;;E;N;10;
2;Sweden;Södermanland;Eskilstuna;;E16.51;N59.37;10;
2;Sweden;Skåne;Eslöv;;E13.30;N55.84;10;
2;Sweden;Västernorrland;Essvik;;E17.39;N62.32;10;
2;Sweden;Skåne;Everöd;;E;N;10;
2;Sweden;Stockholm;Fågelvikshöjden;;E;N;10;
2;Sweden;Västmanland;Fagersta;;E15.81;N60.00;10;
2;Sweden;Halland;Falkenberg;;E12.51;N56.90;10;
2;Sweden;Västra Götaland;Falköping;;E13.56;N58.17;10;
2;Sweden;Dalarna;Falun;;E15.62;N60.61;10;
2;Sweden;Västra Götaland;Färgelanda;;E12.00;N58.57;10;
2;Sweden;Gävleborg;Färila;;E15.85;N61.80;10;
2;Sweden;Kalmar;Färjestaden;;E16.45;N56.65;10;
2;Sweden;Skåne;Färlöv;;E14.08;N56.07;10;
2;Sweden;Dalarna;Färnäs;;E14.63;N61.00;10;
2;Sweden;Gotland;Fårösund;;E19.05;N57.87;10;
2;Sweden;Örebro;Fellingsbro;;E15.58;N59.43;10;
2;Sweden;Kalmar;Figeholm;;E16.55;N57.37;10;
2;Sweden;Värmland;Filipstad;;E14.17;N59.72;10;
2;Sweden;Västra Götaland;Filsbäck;;E13.12;N58.58;10;
2;Sweden;Örebro;Finnerödja;;E14.43;N58.93;10;
2;Sweden;Östergötland;Finspång;;E15.78;N58.71;10;
2;Sweden;Stockholm;Fisksätra;;E18.27;N59.28;10;
2;Sweden;Skåne;Fjälkinge;;E14.28;N56.05;10;
2;Sweden;Västra Götaland;Fjällbacka;;E;N;10;
2;Sweden;Halland;Fjärås kyrkby;;E12.15;N57.43;10;
2;Sweden;Uppsala;Fjärdhundra;;E17.00;N60.00;10;
2;Sweden;Örebro;Fjugesta;;E14.87;N59.17;10;
2;Sweden;Södermanland;Flen;;E16.58;N59.07;10;
2;Sweden;Kalmar;Fliseryd;;E;N;10;
2;Sweden;Västra Götaland;Floby;;E13.33;N58.13;10;
2;Sweden;Västra Götaland;Floda;;E12.37;N57.80;10;
2;Sweden;Dalarna;Floda;;E;N;10;
2;Sweden;Skåne;Flyinge;;E13.35;N55.75;10;
2;Sweden;Dalarna;Fors;;E;N;10;
2;Sweden;Gävleborg;Forsbacka;;E16.88;N60.62;10;
2;Sweden;Gävleborg;Forsby;;E17.13;N60.72;10;
2;Sweden;Jönköping;Forserum;;E14.47;N57.70;10;
2;Sweden;Värmland;Forshaga;;E13.47;N59.53;10;
2;Sweden;Jönköping;Forsheda;;E13.82;N57.15;10;
2;Sweden;Skåne;Förslöv;;E12.82;N56.35;10;
2;Sweden;Västra Götaland;Fotö;;E11.66;N57.67;10;
2;Sweden;Västra Götaland;Frändefors;;E12.28;N58.50;10;
2;Sweden;Västernorrland;Frånö;;E17.83;N62.90;10;
2;Sweden;Västernorrland;Fränsta;;E16.15;N62.50;10;
2;Sweden;Dalarna;Fredriksberg;;E14.38;N60.13;10;
2;Sweden;Blekinge;Fridlevstad;;E15.50;N56.27;10;
2;Sweden;Halland;Frillesås;;E12.17;N57.32;10;
2;Sweden;Västra Götaland;Fristad;;E13.02;N57.82;10;
2;Sweden;Västra Götaland;Fritsla;;E12.78;N57.55;10;
2;Sweden;Halland;Frösakull;;E12.73;N56.68;10;
2;Sweden;Örebro;Frövi;;E;N;10;
2;Sweden;Västra Götaland;Frufällan;;E12.97;N57.78;10;
2;Sweden;Jämtland;Funäsdalen;;E12.55;N62.53;10;
2;Sweden;Skåne;Furulund;;E13.10;N55.77;10;
