3;USA;Arkansas;Cleveland;Bowman Township;;W92.1103138;N34.0194402;12;
3;USA;Arkansas;Cleveland;Harper Township;;W92.0287504;N33.8211642;12;
3;USA;Arkansas;Cleveland;Hudgin Township;;W91.9845715;N34.0066406;12;
3;USA;Arkansas;Cleveland;Hurricane Township;;W92.0162661;N33.7511913;12;
3;USA;Arkansas;Cleveland;Kingsland Township;;W92.3154467;N33.8943763;12;
3;USA;Arkansas;Cleveland;Lee Township;;W92.1156863;N33.7443582;12;
3;USA;Arkansas;Cleveland;Miller Township;;W92.0632326;N33.9498047;12;
3;USA;Arkansas;Cleveland;Niven Township;;W92.193943;N34.0181541;12;
3;USA;Arkansas;Cleveland;Redland Township;;W92.2268156;N33.7756734;12;
3;USA;Arkansas;Cleveland;Rison Township;;W92.2083748;N33.9394703;12;
3;USA;Arkansas;Cleveland;Rowell Township;;W92.0370887;N33.8895697;12;
3;USA;Arkansas;Cleveland;Saline Township;;W92.3885907;N34.0132695;12;
3;USA;Arkansas;Cleveland;Smith Township;;W92.1407339;N33.8861387;12;
3;USA;Arkansas;Cleveland;White Oak Township;;W92.273519;N34.0178279;12;
3;USA;Arkansas;Cleveland;Whiteville Township;;W92.0438202;N34.0141182;12;
3;USA;Arkansas;Columbia;Emerson Township;;W93.1684299;N33.0880165;12;
3;USA;Arkansas;Columbia;Magnolia Township;;W93.2652965;N33.2342494;12;
3;USA;Arkansas;Columbia;McNeil Township;;W93.1697241;N33.3814227;12;
3;USA;Arkansas;Columbia;Taylor Township;;W93.4338086;N33.1328657;12;
3;USA;Arkansas;Columbia;Village Township;;W93.0357239;N33.2689772;12;
3;USA;Arkansas;Columbia;Waldo Township;;W93.3147752;N33.3815361;12;
3;USA;Arkansas;Conway;Austin Township;;W92.546263;N35.4346759;12;
3;USA;Arkansas;Conway;Bentley Township;;W92.7672349;N35.101893;12;
3;USA;Arkansas;Conway;Bird Township;;W92.6141625;N35.3079264;12;
3;USA;Arkansas;Conway;Catholic Point Township;;W92.5293193;N35.3417151;12;
3;USA;Arkansas;Conway;Cedar Falls Township;;W92.9070905;N35.1389727;12;
3;USA;Arkansas;Conway;Gregory Township;;W92.7987773;N35.2774489;12;
3;USA;Arkansas;Conway;Griffin Township;;W92.8047973;N35.4075924;12;
3;USA;Arkansas;Conway;Higgins Township;;W92.8830005;N35.09768;12;
3;USA;Arkansas;Conway;Howard Township;;W92.5931062;N35.1451592;12;
3;USA;Arkansas;Conway;Lick Mountain Township;;W92.5862243;N35.3846485;12;
3;USA;Arkansas;Conway;Martin Township;;W92.8417597;N35.1158896;12;
3;USA;Arkansas;Conway;McLaren Township;;W92.6748506;N35.3221426;12;
3;USA;Arkansas;Conway;Nichols Township;;W92.7021822;N35.4077561;12;
3;USA;Arkansas;Conway;Old Hickory Township;;W92.8107287;N35.3286061;12;
3;USA;Arkansas;Conway;Petit Jean Township;;W93.0064316;N35.0958422;12;
3;USA;Arkansas;Conway;Saint Vincent Township;;W92.7272311;N35.3082183;12;
3;USA;Arkansas;Conway;Steele Township;;W92.6045505;N35.2242648;12;
3;USA;Arkansas;Conway;Union Township;;W92.5366863;N35.2646072;12;
3;USA;Arkansas;Conway;Washington Township;;W92.7026458;N35.2375521;12;
3;USA;Arkansas;Conway;Welborn Township;;W92.758894;N35.1698665;12;
3;USA;Arkansas;Conway;White Eagle Township;;W92.9445024;N35.0967443;12;
3;USA;Arkansas;Craighead;Big Creek Township;;W90.8033473;N35.9208475;12;
3;USA;Arkansas;Craighead;Black Oak Township;;W90.3576148;N35.7765109;12;
3;USA;Arkansas;Craighead;Brookland Township;;W90.5500097;N35.921781;12;
3;USA;Arkansas;Craighead;Buffalo Township;;W90.356827;N35.9206331;12;
3;USA;Arkansas;Craighead;Gilkerson Township;;W90.8036811;N35.7689906;12;
